component,verb_up,frequency,predic,log_freq,log_predic
encoder,sends up,85807,0.00413209091784648,11.359855867229758,-5.484831073019785
encoder,sent up,574405,0.00287957225810346,13.261090001413642,-5.847229791153942
encoder,serve up,1138236,0.00905676022004605,13.944990253538695,-4.695145792490947
encoder,served up,1159259,0.01043369432210368,13.963291565863855,-4.552226364230786
encoder,serves up,1164492,0.02141119636566485,13.96779549838169,-3.8221975577156297
encoder,serving up,1252819,0.01810250532677792,14.04090677013177,-3.993436574125622
encoder,set up,103842740,0.12250207283928516,18.458388197320776,-1.9689466421485766
encoder,sets up,3274047,0.0334508281060694,15.001537392338584,-3.3636556308004684
encoder,setting up,22915551,0.15689219393802448,16.947326321021396,-1.6815359269751626
encoder,settle up,78041,0.00276681677625304,11.264989608596519,-5.887287146353801
encoder,settled up,62602,0.00202243271434331,11.044552505459624,-6.201429697549133
encoder,sew up,155340,0.01411428628540951,11.953371541973638,-4.246352942710351
encoder,sewed up,86391,0.06448128952129598,11.366638782699756,-2.6747260492480422
encoder,sewn up,173635,0.05699560441075437,12.064710673790463,-2.806096794644744
encoder,shake up,978118,0.04808904032541634,13.793385596135526,-2.9854172013765066
encoder,shaken up,492264,0.10612756332008023,13.10677043692985,-2.1309212785935907
encoder,shaking up,323728,0.02858909098616326,12.687658936018975,-3.525724349034971
encoder,shape up,439066,0.00387252693305852,12.99240502244278,-5.549967986163702
encoder,shaped up,113448,0.00479419361995467,11.639099861141181,-5.335544033180843
encoder,shaping up,1610467,0.14370167759196562,14.292034757012566,-1.7848793556307079
encoder,shine up,47390,0.00250851327685834,10.766166514961634,-5.98555335643805
encoder,shining up,26978,0.00274148278672365,10.202776998029625,-5.896511094387349
encoder,shook up,254450,0.0214844746068624,12.446859632016979,-3.8187060902567107
encoder,shoot up,706204,0.01048052115943944,13.467659426578196,-4.547701043776982
encoder,shooting up,467595,0.00803291855131327,13.055357815622967,-4.816142004831885
encoder,shoots up,230407,0.02245469094844212,12.347602589286796,-3.7735450994623134
encoder,shore up,1196797,0.07240035171849937,13.995159379514716,-2.550389068840672
encoder,shored up,135741,0.6870179167931977,11.818503937255809,0.7862144248885127
encoder,shoring up,288122,0.5710565225491634,12.571139280531337,0.2861630374056981
encoder,shot up,1621292,0.01178294257698898,14.298733920214016,-4.429249426025223
encoder,shouted up,18779,0.00253999453290489,9.840494503208207,-5.973050124561893
encoder,show up,26201459,0.03880791536672327,17.081325654203763,-3.209550038828165
encoder,showed up,11128000,0.07934680183973346,16.224975012585414,-2.4512552744310727
encoder,showing up,7124317,0.0670705785224879,15.779024419875036,-2.632584075397148
encoder,shown up,1329792,0.00673176955042954,14.10053309699015,-4.99416270508735
encoder,shows up,8518939,0.03228609672003767,15.957802360534497,-3.4002997936711816
encoder,shrivelled up,16426,0.125384527308118,9.706620724300137,-1.9423990960977273
encoder,shuffled up,21686,0.01174990463971149,9.984422170032127,-4.432090673882884
encoder,shut up,2471284,0.03895925692630487,14.720248411591845,-3.2055003987512896
encoder,shuts up,85350,0.02920441826749194,11.354515728222587,-3.5037959143221866
encoder,shutting up,121174,0.02034138215775373,11.704982808152188,-3.8745468208327387
encoder,sidle up,43809,0.4954816381465103,10.687594554708582,-0.018073939411614403
encoder,sidled up,61620,0.5091173481612453,11.028741772150658,0.03647343552637726
encoder,sidling up,24537,0.4560356844159465,10.107937461403084,-0.17631258660083665
encoder,sign up,29467592,0.13995779645015796,17.19880164116164,-1.815640538703142
encoder,signed up,10300966,0.12385324752078068,16.14774823520996,-1.956436225571996
encoder,signing up,7282609,0.2085914682740634,15.80099973509129,-1.3334366676438643
encoder,signs up,735017,0.00943704088975242,13.507648907179197,-4.6536309611285525
encoder,sit up,1719314,0.01678127269334364,14.35743593202362,-4.070568061359991
encoder,sits up,272750,0.01046289817944804,12.516310903695317,-4.5494017669990034
encoder,sitting up,904494,0.01102292428824067,13.715130950296315,-4.496694021662126
encoder,size up,832861,0.00268288201020506,13.632622040478477,-5.918177197932644
encoder,sized up,158825,0.00815596139283947,11.975558246134733,-4.800816756667694
encoder,sizing up,217262,0.04796792806334198,12.28885927750553,-2.9880661009940974
encoder,slice up,140014,0.00694377975422072,11.849497696591774,-4.962941019571317
encoder,sliced up,142432,0.01499327769943632,11.866619971815581,-4.185046518538861
encoder,slicing up,66751,0.02048180460559079,11.108724557423686,-3.8675239016219787
encoder,slid up,93446,0.01667834825703354,11.445139008329297,-4.076824914342204
encoder,slide up,205148,0.00697203254793348,12.231486948858638,-4.95885203222768
encoder,slip up,561201,0.02382513165675518,13.237834409104792,-3.712900763232006
encoder,slipped up,198151,0.01898440871984989,12.196784645287654,-3.94497030408798
encoder,slipping up,73944,0.01211793055165885,11.211063328944613,-4.4008771082174984
encoder,slow up,116771,8.9956046944374e-4,11.667970030876544,-7.012704315898068
encoder,slowed up,48981,0.00539578925521782,10.799187746794274,-5.216725998036813
encoder,slowing up,32151,0.00321271070704716,10.378198833381107,-5.737422358627271
encoder,smarten up,81522,0.622015702611761,11.308628201452379,0.49811268432128064
encoder,smash up,64687,0.00621771030969939,11.077315532943354,-5.07411643664321
encoder,smashed up,126092,0.02263705171844255,11.744767078227573,-3.7652700552634872
encoder,smashing up,55750,0.0170536963542715,10.928632689322365,-4.054187518471428
encoder,smiled up,86374,0.00499716308273598,11.366441983578929,-5.293875220369263
encoder,smiling up,40657,0.0030306996900646,10.612926301872958,-5.7959264637449195
encoder,smoke up,97827,0.0024624524271217,11.490955891541232,-6.004132014790516
encoder,snap up,416153,0.01959730662474133,12.938808260087342,-3.912571259182128
encoder,snapped up,897446,0.1144830908186818,13.707308230403537,-2.0457444190223457
encoder,snatched up,313564,0.12847087358751855,12.655758764950466,-1.9145470714598267
encoder,snatching up,85664,0.1033953765137132,11.35818794632008,-2.160054741888817
encoder,sneak up,631452,0.05031574634442061,13.355777208382626,-2.9378114880631294
encoder,sneaked up,51006,0.06776765073207026,10.839698551845414,-2.621497132165619
encoder,sneaking up,238318,0.09017926268222744,12.381361195274073,-2.3114480912549857
encoder,sneaks up,199125,0.17920267969315282,12.20168804721235,-1.521758755603951
encoder,snuck up,236886,0.13074823984474868,12.37533429173534,-1.8943591549345216
encoder,snuggle up,355870,0.24821408892379415,12.782320774604575,-1.108159955141046
encoder,snuggled up,267374,0.3187060753144459,12.496403706312261,-0.7597245364597078
encoder,soak up,2648108,0.27205849265605586,14.78935598070582,-0.9842036082072427
encoder,soaked up,472604,0.0740145738254671,13.066013107516309,-2.5265964786491812
encoder,soaking up,1153397,0.20513328985459045,13.958222059154345,-1.3545144781371004
encoder,soaks up,268165,0.3287294578565807,12.499357741686755,-0.7139371522432457
encoder,soar up,52707,0.01671796104756627,10.872503553033164,-4.07441234222346
encoder,soaring up,46826,0.00912961574350821,10.754193883197438,-4.687060126414215
encoder,sober up,163435,0.01850361790535671,12.004170636757276,-3.9711120521953993
encoder,sobered up,108477,0.5081175522746009,11.594293447924564,0.03247306236728558
encoder,soften up,187393,0.03416066356559867,12.140963294833739,-3.3419227080350464
encoder,sold up,88601,7.8853253810754e-4,11.391898423211194,-7.144548042988432
encoder,souped up,96941,0.3477230009899996,11.481857825005331,-0.6290631281607192
encoder,speak up,3292878,0.01827142893122679,15.007272512387958,-3.983976286719498
encoder,speaking up,978549,0.01325423791670554,13.793826141212405,-4.310095075646956
encoder,speaks up,212736,0.00795017893844616,12.26780723933501,-4.826578892474467
encoder,sped up,939021,0.3600862346981153,13.752593122157577,-0.5749898819665017
encoder,speed up,9235432,0.05197123731689605,16.03855794908122,-2.9036944051495994
encoder,speeded up,252853,0.6940028544765878,12.440563571179686,0.8189003000229933
encoder,speeding up,1589235,0.2373220590415966,14.278763326339767,-1.167417728870198
encoder,speeds up,2120194,0.0910150364546259,14.567018151895425,-2.3013038236543544
encoder,spend up,552641,0.00343022652619091,13.22246388343505,-5.671692854121973
encoder,spending up,162930,0.00169216309760254,12.001075939697001,-6.380054032638782
encoder,spent up,129519,8.5008855474713e-4,11.771582867506392,-7.069319581766113
encoder,spice up,1334203,0.10475677278258394,14.103844667793474,-2.145454230260536
encoder,spike up,91910,0.00838649066016308,11.428565116352155,-4.772711267370949
encoder,spin up,606960,0.00868632251965177,13.316218170011956,-4.7372813460638
encoder,spinning up,165892,0.01231860462612271,12.019092253195453,-4.384249480599692
encoder,spins up,104672,0.00483669254550398,11.55858693033811,-5.326675723020182
encoder,spiraling up,29573,0.02320053284421289,10.294617061876925,-3.740106131465051
encoder,split up,2991304,0.0476570496675713,14.911219970695345,-2.994894645854946
encoder,splits up,105972,0.01886648347099713,11.570930187256803,-3.951321566304244
encoder,splitting up,600341,0.0624388187128518,13.305253106091392,-2.709094839042955
encoder,spoke up,853794,0.01539575732285914,13.657445225874419,-4.15814780340386
encoder,spoken up,202426,0.00701146327450568,12.218129666643385,-4.953172699618678
encoder,spool up,49082,0.02378296553936385,10.801247647790849,-3.7147153422881964
encoder,sprang up,497955,0.24411772636243972,13.118264990478165,-1.1302350473251925
encoder,spring up,626171,0.00647322636108756,13.34737877571933,-5.033586361440096
encoder,springing up,528162,0.4160669158101048,13.177158333811144,-0.33894029175841917
encoder,springs up,152722,0.01243781378152311,11.936374554175586,-4.374498137346688
encoder,sprouted up,90035,0.06771987806134691,11.407953762603606,-2.622253572913022
encoder,sprouting up,151335,0.09952851625004357,11.92725120151059,-2.202474298403443
encoder,spruced up,194066,0.7987109731905472,12.17595358637403,1.3782573251099492
encoder,sprung up,893904,0.31597577541677757,13.703353665839396,-0.7723277824778697
encoder,spun up,175789,0.03056775241144752,12.077039691172034,-3.4567649778587874
encoder,square up,169599,0.00217720767464068,12.041192106096142,-6.127532525168482
