model,epoch,loss
OPT-350M,10.4,2.7782
OPT-350M,10.425,2.7767
OPT-350M,10.45,2.7797
OPT-350M,10.475,2.8095
OPT-350M,10.5,2.7813
OPT-350M,10.525,2.7821
OPT-350M,10.55,2.7866
OPT-350M,10.575,2.7687
OPT-350M,10.6,2.7873
OPT-350M,10.625,2.8099
OPT-350M,10.65,2.7896
OPT-350M,10.675,2.7807
OPT-350M,10.7,2.8048
OPT-350M,10.725,2.7767
OPT-350M,10.75,2.8063
OPT-350M,10.775,2.7785
OPT-350M,10.8,2.8007
OPT-350M,10.825,2.7838
OPT-350M,10.85,2.7686
OPT-350M,10.875,2.7671
OPT-350M,10.9,2.778
OPT-350M,10.925,2.7849
OPT-350M,10.95,2.787
OPT-350M,10.975,2.7788
OPT-350M,11.0,2.7713
OPT-350M,11.025,2.7495
OPT-350M,11.05,2.7838
OPT-350M,11.075,2.749
OPT-350M,11.1,2.7711
OPT-350M,11.125,2.7427
OPT-350M,11.15,2.7599
OPT-350M,11.175,2.7665
OPT-350M,11.2,2.7562
OPT-350M,11.225,2.7977
OPT-350M,11.25,2.7604
OPT-350M,11.275,2.7708
OPT-350M,11.3,2.7669
OPT-350M,11.325,2.7782
OPT-350M,11.35,2.7531
OPT-350M,11.375,2.7569
OPT-350M,11.4,2.7562
OPT-350M,11.425,2.7778
OPT-350M,11.45,2.7463
OPT-350M,11.475,2.7616
OPT-350M,11.5,2.7597
OPT-350M,11.525,2.7565
OPT-350M,11.55,2.7452
OPT-350M,11.575,2.7759
OPT-350M,11.6,2.768
OPT-350M,11.625,2.7681
OPT-350M,11.65,2.7687
OPT-350M,11.675,2.7678
OPT-350M,11.7,2.7723
OPT-350M,11.725,2.763
OPT-350M,11.75,2.7488
OPT-350M,11.775,2.7783
OPT-350M,11.8,2.7526
OPT-350M,11.825,2.7441
OPT-350M,11.85,2.7678
OPT-350M,11.875,2.7643
OPT-350M,11.9,2.7358
