layer,log_predic,fit,panel
5,-7.378746564820833,10.093138808236299,OLMo-3 7B
6,-7.378746564820833,10.271578547892123,OLMo-3 7B
7,-7.378746564820833,10.536959998792828,OLMo-3 7B
8,-7.378746564820833,10.903677808310595,OLMo-3 7B
9,-7.378746564820833,11.374554445746275,OLMo-3 7B
10,-7.378746564820833,11.929937489105164,OLMo-3 7B
11,-7.378746564820833,12.547592294839447,OLMo-3 7B
12,-7.378746564820833,13.205284219401314,OLMo-3 7B
13,-7.378746564820833,13.88077861924295,OLMo-3 7B
14,-7.378746564820833,14.551840850816545,OLMo-3 7B
15,-7.378746564820833,15.196236270574285,OLMo-3 7B
16,-7.378746564820833,15.792044890327166,OLMo-3 7B
17,-7.378746564820833,16.324583795138675,OLMo-3 7B
18,-7.378746564820833,16.786407143324816,OLMo-3 7B
19,-7.378746564820833,17.170383748560383,OLMo-3 7B
20,-7.378746564820833,17.46938242452018,OLMo-3 7B
21,-7.378746564820833,17.67627198487901,OLMo-3 7B
22,-7.378746564820833,17.783921243311664,OLMo-3 7B
23,-7.378746564820833,17.78519901349295,OLMo-3 7B
24,-7.378746564820833,17.674521457370457,OLMo-3 7B
25,-7.378746564820833,17.45977239778453,OLMo-3 7B
26,-7.378746564820833,17.155770070205417,OLMo-3 7B
27,-7.378746564820833,16.777390019298643,OLMo-3 7B
28,-7.378746564820833,16.339507789729744,OLMo-3 7B
29,-7.378746564820833,15.856998926164254,OLMo-3 7B
30,-7.378746564820833,15.344738973267697,OLMo-3 7B
31,-7.378746564820833,14.817603475705612,OLMo-3 7B
0,-7.21265387225509,9.985544485787926,OLMo-3 7B
1,-7.21265387225509,9.93798143581424,OLMo-3 7B
2,-7.21265387225509,9.905025004516071,OLMo-3 7B
3,-7.21265387225509,9.901281810568937,OLMo-3 7B
4,-7.21265387225509,9.941358472648355,OLMo-3 7B
5,-7.21265387225509,10.03986160942984,OLMo-3 7B
6,-7.21265387225509,10.211397839588912,OLMo-3 7B
7,-7.21265387225509,10.470573781801086,OLMo-3 7B
8,-7.21265387225509,10.831899820455469,OLMo-3 7B
9,-7.21265387225509,11.298241991285526,OLMo-3 7B
10,-7.21265387225509,11.849851272718306,OLMo-3 7B
